anchor_category,recommended_category,co_orders,anchor_orders,recommended_orders,support,confidence_anchor_to_recommended,confidence_recommended_to_anchor,lift
musica,perfumaria,1,38,3088,1.051215204776722e-05,0.02631578947368421,0.0003238341968911917,0.8106763021543496
construcao_ferramentas_iluminacao,moveis_decoracao,11,242,6303,0.00011563367252543941,0.045454545454545456,0.0017452006980802793,0.6860225289544661
cool_stuff,tablets_impressao_imagem,2,3556,79,2.102430409553444e-05,0.0005624296962879641,0.02531645569620253,0.6772507866896385
instrumentos_musicais,market_place,1,611,274,1.051215204776722e-05,0.0016366612111292963,0.0036496350364963502,0.5682201010668164
moveis_escritorio,moveis_sala,3,1254,414,3.1536456143301656e-05,0.0023923444976076554,0.007246376811594203,0.5497076023391813
construcao_ferramentas_construcao,moveis_cozinha_area_de_servico_jantar_e_jardim,1,736,241,1.051215204776722e-05,0.001358695652173913,0.004149377593360996,0.5363070539419087
flores,moveis_decoracao,1,29,6303,1.051215204776722e-05,0.034482758620689655,0.00015865460891638903,0.5204308840344226
cine_foto,cool_stuff,1,63,3556,1.051215204776722e-05,0.015873015873015872,0.00028121484814398203,0.4246254932419162
casa_construcao,moveis_decoracao,13,483,6303,0.00013665797662097383,0.026915113871635612,0.0020625099159130573,0.40621623867697165
casa_construcao,ferramentas_jardim,7,483,3447,7.358506433437053e-05,0.014492753623188406,0.0020307513780098638,0.3999613190213712
artes,moveis_decoracao,5,195,6303,5.2560760238836095e-05,0.02564102564102564,0.0007932730445819451,0.38698706761533985
bebes,moveis_quarto,1,2808,90,1.051215204776722e-05,0.00035612535612535614,0.011111111111111112,0.37641658752769863
cine_foto,telefonia,1,63,4092,1.051215204776722e-05,0.015873015873015872,0.00024437927663734115,0.36900494965011094
construcao_ferramentas_seguranca,cool_stuff,2,158,3556,2.102430409553444e-05,0.012658227848101266,0.0005624296962879641,0.3386253933448192
industria_comercio_e_negocios,moveis_escritorio,1,231,1254,1.051215204776722e-05,0.004329004329004329,0.0007974481658692185,0.328396749449381
audio,relogios_presentes,6,348,5493,6.307291228660331e-05,0.017241379310344827,0.0010922992900054614,0.298586916263332
construcao_ferramentas_jardim,pet_shop,1,190,1688,1.051215204776722e-05,0.005263157894736842,0.0005924170616113745,0.29660763282614117
dvds_blu_ray,utilidades_domesticas,1,56,5743,1.051215204776722e-05,0.017857142857142856,0.00017412502176562773,0.2957886619735827
bebes,fashion_calcados,2,2808,235,2.102430409553444e-05,0.0007122507122507123,0.00851063829787234,0.2883190883190883
artigos_de_festas,cama_mesa_banho,1,38,9271,1.051215204776722e-05,0.02631578947368421,0.00010786322942508899,0.27002140233552274
dvds_blu_ray,informatica_acessorios,1,56,6529,1.051215204776722e-05,0.017857142857142856,0.00015316281206922958,0.2601798569021727
moveis_decoracao,moveis_sala,7,6303,414,7.358506433437053e-05,0.0011105822624147231,0.016908212560386472,0.25518712429707197
bebes,sinalizacao_e_seguranca,1,2808,138,1.051215204776722e-05,0.00035612535612535614,0.007246376811594203,0.24548907882241217
casa_conforto,moveis_decoracao,6,392,6303,6.307291228660331e-05,0.015306122448979591,0.0009519276534983341,0.23100758628058554
artes,papelaria,1,195,2264,1.051215204776722e-05,0.005128205128205128,0.00044169611307420494,0.2154752197155024
bebes,construcao_ferramentas_seguranca,1,2808,158,1.051215204776722e-05,0.00035612535612535614,0.006329113924050633,0.2144145118828663
malas_acessorios,papelaria,5,1019,2264,5.2560760238836095e-05,0.004906771344455349,0.002208480565371025,0.2061710885403482
cine_foto,esporte_lazer,1,63,7528,1.051215204776722e-05,0.015873015873015872,0.00013283740701381508,0.20058026753032066
